id,campaign_id,campaign_name,date,target_audience,channel,impressions,clicks,conversions,spend,revenue_generated,roas,upload_timestamp
71,639165,"Email Campaign",2024-10-29,Inactive,SMS,1771,226,98,2154.4,8055.52,1.74,"2024-11-20 15:56:34"
72,270413,"Referral Program",2024-10-29,All,Email,1377,278,43,2165.16,4371.9,3.85,"2024-11-20 15:56:34"
73,652845,"New User Discount",2024-10-28,All,SMS,4258,162,45,2098.74,8237.05,2.49,"2024-11-20 15:56:34"
74,159675,"Weekend Special",2024-10-28,Inactive,Email,2239,183,85,1183.89,9661.81,3.17,"2024-11-20 15:56:34"
75,89176,"Festival Offer",2024-10-28,All,SMS,1666,508,20,3586.46,3395.18,3.25,"2024-11-20 15:56:34"
76,294030,"Flash Sale",2024-10-28,Inactive,App,1679,965,57,1452.05,6109.1,3.05,"2024-11-20 15:56:34"
77,448860,"Membership Drive",2024-10-28,"New Users",Email,2775,396,33,4290.98,8723.84,2.1,"2024-11-20 15:56:34"
78,618403,"Category Promotion",2024-10-28,Inactive,App,1153,198,99,3455.94,4935.65,1.84,"2024-11-20 15:56:34"
79,795975,"App Push Notification",2024-10-28,Inactive,SMS,6100,642,66,3409.53,9276.19,2.56,"2024-11-20 15:56:34"
80,453312,"Email Campaign",2024-10-28,"New Users",App,1618,301,32,3165.37,7731.79,2.61,"2024-11-20 15:56:34"
81,468423,"Referral Program",2024-10-28,"New Users",Email,1927,298,96,2617.58,9553.44,3.03,"2024-11-20 15:56:34"
82,359366,"New User Discount",2024-10-27,All,Email,1685,999,46,1055.61,4223.44,1.55,"2024-11-20 15:56:34"
83,69903,"Weekend Special",2024-10-27,Inactive,App,1085,706,41,4118.41,3837.05,2.72,"2024-11-20 15:56:34"
84,613932,"Festival Offer",2024-10-27,Premium,App,4726,709,59,3577.71,3104.01,1.94,"2024-11-20 15:56:34"
85,992886,"Flash Sale",2024-10-27,Premium,Email,9194,537,42,2925.63,3760.51,1.66,"2024-11-20 15:56:34"
86,380809,"Membership Drive",2024-10-27,Inactive,Email,3122,496,84,2365.57,2572.69,3.47,"2024-11-20 15:56:34"
87,509178,"Category Promotion",2024-10-27,Premium,"Social Media",6487,644,48,3457.17,2472.34,1.62,"2024-11-20 15:56:34"
88,794495,"App Push Notification",2024-10-27,"New Users",App,3049,634,58,2093.96,7406.66,2.9,"2024-11-20 15:56:34"
89,880379,"Email Campaign",2024-10-27,All,App,2399,335,41,4785.81,9369.74,2.39,"2024-11-20 15:56:34"
90,561555,"Referral Program",2024-10-27,All,"Social Media",4881,102,89,4549.44,8205.53,1.93,"2024-11-20 15:56:34"
91,530223,"New User Discount",2024-10-26,Inactive,App,8865,176,27,1137.88,6799.15,2.54,"2024-11-20 15:56:34"
92,495008,"Weekend Special",2024-10-26,Premium,SMS,7698,120,100,4992.5,3353.4,2.3,"2024-11-20 15:56:34"
93,565307,"Festival Offer",2024-10-26,Premium,SMS,1600,241,72,4917.53,7945.34,1.82,"2024-11-20 15:56:34"
94,842270,"Flash Sale",2024-10-26,Inactive,SMS,9800,758,53,3310.25,8683.82,2.47,"2024-11-20 15:56:34"
95,737765,"Membership Drive",2024-10-26,"New Users",SMS,9214,909,48,3400.97,9608.9,3.65,"2024-11-20 15:56:34"
96,521471,"Category Promotion",2024-10-26,All,SMS,2315,704,100,4403.4,9400.79,3.16,"2024-11-20 15:56:34"
97,42263,"App Push Notification",2024-10-26,Inactive,Email,1723,258,81,1558.93,8570.27,2.02,"2024-11-20 15:56:34"
98,664981,"Email Campaign",2024-10-26,"New Users","Social Media",1002,705,63,3599.79,4311.79,4,"2024-11-20 15:56:34"
99,887586,"Referral Program",2024-10-26,Inactive,"Social Media",3797,149,50,3393.94,6539.92,3.45,"2024-11-20 15:56:34"
100,408371,"New User Discount",2024-10-25,"New Users",App,7239,579,61,4575.26,6288.51,3.88,"2024-11-20 15:56:34"
101,993186,"Weekend Special",2024-10-25,Premium,Email,2258,513,75,2383.71,5454.96,2.39,"2024-11-20 15:56:34"
102,762331,"Festival Offer",2024-10-25,Inactive,App,5882,577,19,4474.48,4596.52,2.79,"2024-11-20 15:56:34"
103,209173,"Flash Sale",2024-10-25,Premium,Email,8130,137,18,1715.46,9959.51,2.33,"2024-11-20 15:56:34"
104,903905,"Membership Drive",2024-10-25,Inactive,App,6268,973,15,3117.62,8722.31,2.13,"2024-11-20 15:56:34"
105,668975,"Category Promotion",2024-10-25,"New Users",App,5437,972,80,4583.85,7105.69,1.59,"2024-11-20 15:56:34"
106,680570,"App Push Notification",2024-10-25,Inactive,Email,7010,202,34,1599.34,7806.21,2.99,"2024-11-20 15:56:34"
107,192501,"Email Campaign",2024-10-25,Inactive,Email,4970,343,53,1947.23,9461.87,3.41,"2024-11-20 15:56:34"
108,982430,"Referral Program",2024-10-25,Premium,Email,5429,795,82,2842.37,4914,2.81,"2024-11-20 15:56:34"
109,698056,"New User Discount",2024-10-24,All,App,3144,877,18,3704.05,3732.06,2.59,"2024-11-20 15:56:34"
110,941069,"Weekend Special",2024-10-24,"New Users","Social Media",5133,389,70,2318.95,4311.21,2.18,"2024-11-20 15:56:34"
111,602540,"Festival Offer",2024-10-24,Inactive,App,6569,620,64,3218.48,2901.45,2.69,"2024-11-20 15:56:34"
112,575585,"Flash Sale",2024-10-24,Inactive,App,8501,258,57,2437.64,8650.4,2.45,"2024-11-20 15:56:34"
113,552893,"Membership Drive",2024-10-24,Inactive,"Social Media",9012,259,38,1598.76,2093.56,2.33,"2024-11-20 15:56:34"
114,882671,"Category Promotion",2024-10-24,Inactive,Email,7685,540,47,2199.05,4937.69,1.83,"2024-11-20 15:56:34"
115,729422,"App Push Notification",2024-10-24,Inactive,"Social Media",1753,984,16,4052.53,6151.03,1.59,"2024-11-20 15:56:34"
116,315890,"Email Campaign",2024-10-24,"New Users",SMS,7736,953,70,2749.84,5113.71,3.28,"2024-11-20 15:56:34"
117,242619,"Referral Program",2024-10-24,Inactive,"Social Media",3112,391,48,4882.83,3755.92,3.74,"2024-11-20 15:56:34"
118,457841,"New User Discount",2024-10-23,"New Users",SMS,8261,557,54,2599.3,3748.91,1.63,"2024-11-20 15:56:34"
119,334424,"Weekend Special",2024-10-23,Inactive,SMS,6370,604,70,3516.78,2866.2,3.1,"2024-11-20 15:56:34"
120,489132,"Festival Offer",2024-10-23,"New Users","Social Media",4553,469,12,2363.94,6845.16,2.18,"2024-11-20 15:56:34"
121,554438,"Flash Sale",2024-10-23,All,"Social Media",7358,367,41,2165.36,2312.68,3.34,"2024-11-20 15:56:34"
122,204191,"Membership Drive",2024-10-23,All,"Social Media",9385,492,43,1921.19,9824.3,3.58,"2024-11-20 15:56:34"
123,586930,"Category Promotion",2024-10-23,Inactive,"Social Media",7577,598,15,2804.3,9402.79,3.65,"2024-11-20 15:56:34"
124,814199,"App Push Notification",2024-10-23,"New Users",SMS,8240,341,50,4191.03,6688.85,2.37,"2024-11-20 15:56:34"
125,871629,"Email Campaign",2024-10-23,All,App,2233,547,27,4199.36,5655.15,3.56,"2024-11-20 15:56:34"
126,697944,"Referral Program",2024-10-23,Inactive,App,4653,188,51,2303.42,4678.46,3.09,"2024-11-20 15:56:34"
127,776669,"New User Discount",2024-10-22,Inactive,App,6516,252,34,4332.69,7080.93,3.26,"2024-11-20 15:56:34"
128,845527,"Weekend Special",2024-10-22,Inactive,"Social Media",9587,810,77,1323.74,3364.59,1.71,"2024-11-20 15:56:34"
129,932133,"Festival Offer",2024-10-22,All,Email,6955,317,78,3341.07,5741.39,3.73,"2024-11-20 15:56:34"
130,130164,"Flash Sale",2024-10-22,Premium,"Social Media",6347,665,75,3934.71,4725.54,1.63,"2024-11-20 15:56:34"
131,547470,"Membership Drive",2024-10-22,Premium,SMS,9964,465,33,2695.95,3392.76,3.53,"2024-11-20 15:56:34"
132,530361,"Category Promotion",2024-10-22,Inactive,Email,8285,530,29,3909.95,5650.29,2.03,"2024-11-20 15:56:34"
133,181070,"App Push Notification",2024-10-22,Inactive,SMS,7265,110,22,2495.46,8618.53,1.94,"2024-11-20 15:56:34"
134,27596,"Email Campaign",2024-10-22,Premium,"Social Media",2648,898,24,3747,7410.91,2.99,"2024-11-20 15:56:34"
135,518109,"Referral Program",2024-10-22,Premium,SMS,3803,207,42,1671.16,5232.93,3.47,"2024-11-20 15:56:34"
136,980545,"New User Discount",2024-10-21,Premium,SMS,6378,149,31,4974.32,9771.12,1.73,"2024-11-20 15:56:34"
137,963463,"Weekend Special",2024-10-21,"New Users",Email,8974,479,39,1741.34,7019.71,2.03,"2024-11-20 15:56:34"
138,362162,"Festival Offer",2024-10-21,Premium,SMS,4976,562,79,1855.65,2736.38,3.13,"2024-11-20 15:56:34"
139,837030,"Flash Sale",2024-10-21,All,SMS,9348,397,30,4546.79,8518.37,3.77,"2024-11-20 15:56:34"
140,533144,"Membership Drive",2024-10-21,Inactive,App,7432,627,23,1618.63,8290.49,3.9,"2024-11-20 15:56:34"
141,942737,"Category Promotion",2024-10-21,Premium,SMS,9433,593,61,1670.95,5415.89,1.99,"2024-11-20 15:56:34"
142,8328,"App Push Notification",2024-10-21,All,Email,3212,747,63,3964.61,7024.84,2.44,"2024-11-20 15:56:34"
143,446559,"Email Campaign",2024-10-21,All,Email,4395,786,53,1766.03,4554.83,1.68,"2024-11-20 15:56:34"
144,929421,"Referral Program",2024-10-21,All,"Social Media",7680,829,81,1652.23,2181.47,3.94,"2024-11-20 15:56:34"
145,415106,"New User Discount",2024-10-20,All,SMS,5143,930,88,4882.61,2535.36,1.71,"2024-11-20 15:56:34"
146,38153,"Weekend Special",2024-10-20,All,App,7842,559,20,1927.22,8434.35,2.15,"2024-11-20 15:56:34"
147,523833,"Festival Offer",2024-10-20,All,SMS,9486,347,43,1686.15,5813.55,3.61,"2024-11-20 15:56:34"
148,170461,"Flash Sale",2024-10-20,"New Users",SMS,2952,393,38,4037.84,4531.27,3.74,"2024-11-20 15:56:34"
149,109449,"Membership Drive",2024-10-20,Premium,App,8414,748,63,2195.8,3019.02,2.4,"2024-11-20 15:56:34"
150,687130,"Category Promotion",2024-10-20,All,Email,4330,822,31,1104.8,6592.8,2.55,"2024-11-20 15:56:34"
151,479853,"App Push Notification",2024-10-20,Premium,SMS,6870,227,92,4219.18,4713.09,2.5,"2024-11-20 15:56:34"
152,683250,"Email Campaign",2024-10-20,Inactive,Email,8382,926,37,1921.49,6651.93,2.88,"2024-11-20 15:56:34"
153,794159,"Referral Program",2024-10-20,Inactive,"Social Media",3200,998,79,1614.98,4026.68,2.57,"2024-11-20 15:56:34"
154,593428,"New User Discount",2024-10-19,"New Users",SMS,1554,121,97,2667.73,6000.11,3.88,"2024-11-20 15:56:34"
155,579105,"Weekend Special",2024-10-19,"New Users","Social Media",7754,920,41,2335.89,4374.42,3.55,"2024-11-20 15:56:34"
156,494867,"Festival Offer",2024-10-19,"New Users","Social Media",4586,977,87,2372.56,3816.48,3.11,"2024-11-20 15:56:34"
157,972242,"Flash Sale",2024-10-19,"New Users",App,2553,551,51,4591.88,6236.89,2.52,"2024-11-20 15:56:34"
158,762572,"Membership Drive",2024-10-19,All,"Social Media",6285,971,52,3257.45,2757.61,1.98,"2024-11-20 15:56:34"
159,736483,"Category Promotion",2024-10-19,Premium,Email,8086,938,23,4006.13,8109.27,3.31,"2024-11-20 15:56:34"
160,822872,"App Push Notification",2024-10-19,Inactive,SMS,3595,244,72,3807.41,4183.31,2.13,"2024-11-20 15:56:34"
161,444700,"Email Campaign",2024-10-19,"New Users",App,3648,917,65,1167.11,9601.21,3.35,"2024-11-20 15:56:34"
162,382659,"Referral Program",2024-10-19,Premium,App,6139,355,77,4850.15,5703.32,3.53,"2024-11-20 15:56:34"
163,911817,"New User Discount",2024-10-18,"New Users",App,2358,459,76,3039.4,3814.89,1.78,"2024-11-20 15:56:34"
164,977198,"Weekend Special",2024-10-18,Premium,"Social Media",1311,828,21,3593.2,8054.46,1.84,"2024-11-20 15:56:34"
165,338461,"Festival Offer",2024-10-18,Inactive,App,8837,717,85,2017.25,6910.97,3.49,"2024-11-20 15:56:34"
166,490083,"Flash Sale",2024-10-18,"New Users",App,8394,490,95,1419.59,2756.89,3.38,"2024-11-20 15:56:34"
167,538898,"Membership Drive",2024-10-18,"New Users",App,1025,971,57,1872.13,3381.51,3.61,"2024-11-20 15:56:34"
168,570365,"Category Promotion",2024-10-18,Inactive,"Social Media",5313,591,76,1187.93,7750.31,2.17,"2024-11-20 15:56:34"
169,71028,"App Push Notification",2024-10-18,Inactive,App,9195,547,39,3435.03,9024.93,3.14,"2024-11-20 15:56:34"
170,914119,"Email Campaign",2024-10-18,"New Users",Email,7683,319,37,4746.76,5034.95,3.8,"2024-11-20 15:56:34"
171,277306,"Referral Program",2024-10-18,Premium,"Social Media",2064,390,12,1312.97,4952.09,1.65,"2024-11-20 15:56:34"
172,992859,"New User Discount",2024-10-17,Inactive,SMS,6077,157,29,4324.59,3798.75,3.78,"2024-11-20 15:56:34"
173,38680,"Weekend Special",2024-10-17,Premium,App,6986,769,13,2756.39,3006.93,2.15,"2024-11-20 15:56:34"
174,627466,"Festival Offer",2024-10-17,Inactive,SMS,6475,330,17,3389.57,6934.82,1.94,"2024-11-20 15:56:34"
175,721480,"Flash Sale",2024-10-17,Premium,App,4621,846,89,2010.23,4857.76,2.62,"2024-11-20 15:56:34"
176,463470,"Membership Drive",2024-10-17,Premium,Email,4866,843,10,2036.43,9742.66,1.54,"2024-11-20 15:56:34"
177,611505,"Category Promotion",2024-10-17,Inactive,"Social Media",7936,927,82,4318.97,7069.93,3.56,"2024-11-20 15:56:34"
178,978930,"App Push Notification",2024-10-17,"New Users",SMS,1465,194,75,1536.67,6191.95,3.76,"2024-11-20 15:56:34"
179,408445,"Email Campaign",2024-10-17,"New Users",App,2312,487,68,2525.56,9208.83,2.82,"2024-11-20 15:56:34"
180,848590,"Referral Program",2024-10-17,Inactive,Email,9067,787,93,1057.25,9577.92,3.12,"2024-11-20 15:56:34"
181,942963,"New User Discount",2024-10-16,Inactive,Email,3217,359,12,1361.43,8734.81,1.51,"2024-11-20 15:56:34"
182,94992,"Weekend Special",2024-10-16,All,App,7529,547,79,4082.14,2765.4,3.46,"2024-11-20 15:56:34"
183,34191,"Festival Offer",2024-10-16,Inactive,"Social Media",3138,724,13,1622.33,7683.62,3.58,"2024-11-20 15:56:34"
184,358462,"Flash Sale",2024-10-16,Inactive,App,4765,411,60,2277.77,6766.63,3.26,"2024-11-20 15:56:34"
185,511991,"Membership Drive",2024-10-16,All,SMS,9683,100,92,2353.78,4471.61,2.95,"2024-11-20 15:56:34"
186,234036,"Category Promotion",2024-10-16,Inactive,SMS,2176,167,57,4239.19,8603.76,1.62,"2024-11-20 15:56:34"
187,460964,"App Push Notification",2024-10-16,All,SMS,5570,150,37,2175.55,2538.18,2.74,"2024-11-20 15:56:34"
188,562835,"Email Campaign",2024-10-16,All,SMS,3914,241,25,3267.78,3558.02,1.95,"2024-11-20 15:56:34"
189,569002,"Referral Program",2024-10-16,Premium,"Social Media",5481,759,55,4609.27,3819.5,3.26,"2024-11-20 15:56:34"
190,686645,"New User Discount",2024-10-15,All,"Social Media",4109,649,86,2389.82,9766.72,3.23,"2024-11-20 15:56:34"
191,914931,"Weekend Special",2024-10-15,"New Users","Social Media",5724,877,67,3027.31,3345.95,2.02,"2024-11-20 15:56:34"
192,843274,"Festival Offer",2024-10-15,Premium,"Social Media",1034,968,58,4438.6,2588.21,3.86,"2024-11-20 15:56:34"
193,308911,"Flash Sale",2024-10-15,"New Users","Social Media",4919,661,63,4818.43,5003.95,2.67,"2024-11-20 15:56:34"
194,320610,"Membership Drive",2024-10-15,All,SMS,5174,376,81,3036.37,4448.69,3.69,"2024-11-20 15:56:34"
195,487151,"Category Promotion",2024-10-15,All,"Social Media",3416,685,98,4018.36,2170.94,2.3,"2024-11-20 15:56:34"
196,390634,"App Push Notification",2024-10-15,Premium,Email,8930,361,94,1510.67,4795.86,3.29,"2024-11-20 15:56:34"
197,411434,"Email Campaign",2024-10-15,Inactive,Email,3597,149,48,4273.24,5148.84,2.75,"2024-11-20 15:56:34"
198,929630,"Referral Program",2024-10-15,"New Users",Email,3344,810,88,2786.73,7608.13,3.25,"2024-11-20 15:56:34"
199,786085,"New User Discount",2024-10-14,"New Users","Social Media",9878,792,84,1995.07,5772.9,2.48,"2024-11-20 15:56:34"
200,874058,"Weekend Special",2024-10-14,Inactive,App,4890,929,100,3933.1,7013.19,3.75,"2024-11-20 15:56:34"
201,336128,"Festival Offer",2024-10-14,Premium,Email,5261,475,32,1902.86,8899.39,1.82,"2024-11-20 15:56:34"
202,957007,"Flash Sale",2024-10-14,Premium,Email,7155,454,51,1727.08,5407.31,2.75,"2024-11-20 15:56:34"
203,148522,"Membership Drive",2024-10-14,All,"Social Media",7279,693,93,4386.41,9441.08,2.27,"2024-11-20 15:56:34"
204,479381,"Category Promotion",2024-10-14,Premium,Email,5884,689,14,2415.08,3067.78,2.57,"2024-11-20 15:56:34"
205,197209,"App Push Notification",2024-10-14,Premium,SMS,1558,415,49,2979.87,3609.89,2.93,"2024-11-20 15:56:34"
206,391697,"Email Campaign",2024-10-14,Inactive,Email,8221,910,13,1357.64,4046.13,2.87,"2024-11-20 15:56:34"
207,614584,"Referral Program",2024-10-14,All,SMS,6749,792,24,4576.84,5500.51,3.45,"2024-11-20 15:56:34"
208,142389,"New User Discount",2024-10-13,All,SMS,3365,963,12,3397.73,7077.5,2.86,"2024-11-20 15:56:34"
209,289397,"Weekend Special",2024-10-13,All,App,8092,974,18,1253.01,4088.11,3.03,"2024-11-20 15:56:34"
210,171934,"Festival Offer",2024-10-13,Premium,SMS,8092,327,52,2546.42,3189.71,2.96,"2024-11-20 15:56:34"
211,690497,"Flash Sale",2024-10-13,All,Email,9841,105,95,4278.17,7796.05,3.51,"2024-11-20 15:56:34"
212,432807,"Membership Drive",2024-10-13,"New Users",App,7336,160,53,2485.13,3512.87,1.97,"2024-11-20 15:56:34"
213,167425,"Category Promotion",2024-10-13,"New Users",App,7572,763,87,2233.11,6294.83,2.14,"2024-11-20 15:56:34"
214,808905,"App Push Notification",2024-10-13,"New Users",App,6174,472,59,2242.83,6950.51,3.39,"2024-11-20 15:56:34"
215,71699,"Email Campaign",2024-10-13,Premium,SMS,3743,573,68,3512.16,7812,3.02,"2024-11-20 15:56:34"
216,652119,"Referral Program",2024-10-13,"New Users",App,8629,951,23,4036.51,9053.65,2.71,"2024-11-20 15:56:34"
217,618967,"New User Discount",2024-10-12,"New Users",App,1582,975,96,1487.46,7566.78,3.96,"2024-11-20 15:56:34"
218,284634,"Weekend Special",2024-10-12,"New Users",App,3803,465,55,1690.55,5220.23,2,"2024-11-20 15:56:34"
219,139196,"Festival Offer",2024-10-12,All,Email,8047,726,47,2066.11,7037.37,3.56,"2024-11-20 15:56:34"
